Pin: U\n	{"Pref"={"Pin"="U"}}
Explanation: 6\n\nPin: 5BJ\n\nExplanation: -ULn\n\nPin: \n\n# \n	{"Pref"={"Explanation"="6"}}{"Pref"={"Pin"="5BJ"}}{"Pref"={"Explanation"="-ULn"}}{"Pref"={"Pin"=""}}{"Pref"={"#comment"=""}}
# B\n	{"Pref"={"#comment"="B"}}
Package: *\n\nPin: JHv\n	{"Pref"={"Package"="*"}}{"Pref"={"Pin"="JHv"}}
# uCiW\n\n# \n	{"Pref"={"#comment"="uCiW"}}{"Pref"={"#comment"=""}}
Pin-Priority: 1\n\nPin-Priority: 824\n\nPackage: *\n\nExplanation: :p\n\nPin-Priority: 8\n\nPin-Priority: 0\n\nPackage: Q51\n\n# o\n	{"Pref"={"Pin-Priority"="1"}}{"Pref"={"Pin-Priority"="824"}}{"Pref"={"Package"="*"}}{"Pref"={"Explanation"=":p"}}{"Pref"={"Pin-Priority"="8"}}{"Pref"={"Pin-Priority"="0"}}{"Pref"={"Package"="Q51"}}{"Pref"={"#comment"="o"}}
Package: \n	{"Pref"={"Package"=""}}
Explanation: _l\n\n# h\n\nPackage: F0b\n	{"Pref"={"Explanation"="_l"}}{"Pref"={"#comment"="h"}}{"Pref"={"Package"="F0b"}}
Package: *\n\nPackage: *\n\nExplanation: .pV\n\nExplanation: k4\n	{"Pref"={"Package"="*"}}{"Pref"={"Package"="*"}}{"Pref"={"Explanation"=".pV"}}{"Pref"={"Explanation"="k4"}}
Pin-Priority: 6726288\n\nExplanation: p:N\n\nPin: \n	{"Pref"={"Pin-Priority"="6726288"}}{"Pref"={"Explanation"="p:N"}}{"Pref"={"Pin"=""}}
Pin-Priority: 8261\n\nPackage: b\n\nPackage: *\n\nExplanation: 7\n\nPin-Priority: 1\n\n# cCPO\n	{"Pref"={"Pin-Priority"="8261"}}{"Pref"={"Package"="b"}}{"Pref"={"Package"="*"}}{"Pref"={"Explanation"="7"}}{"Pref"={"Pin-Priority"="1"}}{"Pref"={"#comment"="cCPO"}}
Explanation: \n\nExplanation: \n	{"Pref"={"Explanation"=""}}{"Pref"={"Explanation"=""}}
# u\n	{"Pref"={"#comment"="u"}}
Package: *\n\nPin-Priority: 51\n\nPackage: ZU\n	{"Pref"={"Package"="*"}}{"Pref"={"Pin-Priority"="51"}}{"Pref"={"Package"="ZU"}}
Pin-Priority: 85\n\nPin-Priority: 2165\n	{"Pref"={"Pin-Priority"="85"}}{"Pref"={"Pin-Priority"="2165"}}
Pin-Priority: 09\n\nPin: \n	{"Pref"={"Pin-Priority"="09"}}{"Pref"={"Pin"=""}}
Explanation: O\n\nPin-Priority: 10\n	{"Pref"={"Explanation"="O"}}{"Pref"={"Pin-Priority"="10"}}
Explanation: lo\n	{"Pref"={"Explanation"="lo"}}
Pin-Priority: 698\n\nExplanation: \n	{"Pref"={"Pin-Priority"="698"}}{"Pref"={"Explanation"=""}}
Pin: 2j9\n\nPin: P\n	{"Pref"={"Pin"="2j9"}}{"Pref"={"Pin"="P"}}
Package: 4M.\n\nExplanation: \n\nPackage: *\n\nExplanation: 4\n	{"Pref"={"Package"="4M."}}{"Pref"={"Explanation"=""}}{"Pref"={"Package"="*"}}{"Pref"={"Explanation"="4"}}
# sy\n\nPin: SW\n\nPin: \n\nPin-Priority: 54\n\nPin: \n	{"Pref"={"#comment"="sy"}}{"Pref"={"Pin"="SW"}}{"Pref"={"Pin"=""}}{"Pref"={"Pin-Priority"="54"}}{"Pref"={"Pin"=""}}
Explanation: S\n\nExplanation: \n	{"Pref"={"Explanation"="S"}}{"Pref"={"Explanation"=""}}
Package: *\n	{"Pref"={"Package"="*"}}
Pin-Priority: 537\n\nPackage: OohK\n	{"Pref"={"Pin-Priority"="537"}}{"Pref"={"Package"="OohK"}}
Pin-Priority: 6\n\n# x\n	{"Pref"={"Pin-Priority"="6"}}{"Pref"={"#comment"="x"}}
Pin: 0B\n\n# kBpu\n\n# pK\n	{"Pref"={"Pin"="0B"}}{"Pref"={"#comment"="kBpu"}}{"Pref"={"#comment"="pK"}}
Package: \n	{"Pref"={"Package"=""}}
Pin: GDT6\n	{"Pref"={"Pin"="GDT6"}}
Explanation: \n\nPin: \n	{"Pref"={"Explanation"=""}}{"Pref"={"Pin"=""}}
Package: *\n\nPackage: \n	{"Pref"={"Package"="*"}}{"Pref"={"Package"=""}}
Pin-Priority: 1\n	{"Pref"={"Pin-Priority"="1"}}
Package: *\n	{"Pref"={"Package"="*"}}
Pin: E\n	{"Pref"={"Pin"="E"}}
Explanation: 8\n	{"Pref"={"Explanation"="8"}}
# 6/d\n	{"Pref"={"#comment"="6/d"}}
Pin-Priority: 78\n	{"Pref"={"Pin-Priority"="78"}}
Pin-Priority: 242\n	{"Pref"={"Pin-Priority"="242"}}
Explanation: h\n\nPackage: t\n\nPin: 4i\n\nExplanation:  \n	{"Pref"={"Explanation"="h"}}{"Pref"={"Package"="t"}}{"Pref"={"Pin"="4i"}}{"Pref"={"Explanation"=" "}}
Pin: i\n\nPin-Priority: 5\n\n# H9r\n\nPin-Priority: 5\n\nPin: G \n\n# \n\nPin-Priority: 10913\n	{"Pref"={"Pin"="i"}}{"Pref"={"Pin-Priority"="5"}}{"Pref"={"#comment"="H9r"}}{"Pref"={"Pin-Priority"="5"}}{"Pref"={"Pin"="G "}}{"Pref"={"#comment"=""}}{"Pref"={"Pin-Priority"="10913"}}
Explanation: +7Kys\n\nPin: \n	{"Pref"={"Explanation"="+7Kys"}}{"Pref"={"Pin"=""}}
Package: EP\n	{"Pref"={"Package"="EP"}}
Package: q\n	{"Pref"={"Package"="q"}}
Explanation: \n\nExplanation: \n	{"Pref"={"Explanation"=""}}{"Pref"={"Explanation"=""}}
Explanation: k\n\nExplanation: ufT1\n\nPackage: *\n	{"Pref"={"Explanation"="k"}}{"Pref"={"Explanation"="ufT1"}}{"Pref"={"Package"="*"}}
Pin: Z\n	{"Pref"={"Pin"="Z"}}
Package: Uvv\n\nExplanation:  \n\n# Z\n	{"Pref"={"Package"="Uvv"}}{"Pref"={"Explanation"=" "}}{"Pref"={"#comment"="Z"}}
Pin: \n\nExplanation: \n\nPin-Priority: 516\n	{"Pref"={"Pin"=""}}{"Pref"={"Explanation"=""}}{"Pref"={"Pin-Priority"="516"}}
Explanation: m\n\n# \n	{"Pref"={"Explanation"="m"}}{"Pref"={"#comment"=""}}
Package: *\n\nPackage: *\n\nPin-Priority: 4\n	{"Pref"={"Package"="*"}}{"Pref"={"Package"="*"}}{"Pref"={"Pin-Priority"="4"}}
# \n\n# H\n\nExplanation: \n\nPin-Priority: 85\n\nPin: v\n\nExplanation: \n	{"Pref"={"#comment"=""}}{"Pref"={"#comment"="H"}}{"Pref"={"Explanation"=""}}{"Pref"={"Pin-Priority"="85"}}{"Pref"={"Pin"="v"}}{"Pref"={"Explanation"=""}}
# g\n\n# kE\n	{"Pref"={"#comment"="g"}}{"Pref"={"#comment"="kE"}}
Pin-Priority: 47\n	{"Pref"={"Pin-Priority"="47"}}
Pin: 0Az\n\n# h'\n\nExplanation: 1\n	{"Pref"={"Pin"="0Az"}}{"Pref"={"#comment"="h'"}}{"Pref"={"Explanation"="1"}}
Explanation: \n\nPin-Priority: 33882\n	{"Pref"={"Explanation"=""}}{"Pref"={"Pin-Priority"="33882"}}
Package: 00\n\nPackage: qAxXwZ1/\n	{"Pref"={"Package"="00"}}{"Pref"={"Package"="qAxXwZ1/"}}
# \n\nExplanation: ra+o\n	{"Pref"={"#comment"=""}}{"Pref"={"Explanation"="ra+o"}}
Package: *\n\nPackage: 2X\n\n# \n\n# Et\n\nPin: \n\nPackage: *\n\nPackage: -Cu\n\nPackage: Y\n	{"Pref"={"Package"="*"}}{"Pref"={"Package"="2X"}}{"Pref"={"#comment"=""}}{"Pref"={"#comment"="Et"}}{"Pref"={"Pin"=""}}{"Pref"={"Package"="*"}}{"Pref"={"Package"="-Cu"}}{"Pref"={"Package"="Y"}}
Explanation: XlXa\n\nPackage: *\n\nPin-Priority: 220707\n\n# \n	{"Pref"={"Explanation"="XlXa"}}{"Pref"={"Package"="*"}}{"Pref"={"Pin-Priority"="220707"}}{"Pref"={"#comment"=""}}
Explanation: 8q.LJ\n\nExplanation: \n\nPackage: E\n	{"Pref"={"Explanation"="8q.LJ"}}{"Pref"={"Explanation"=""}}{"Pref"={"Package"="E"}}
Package: *\n	{"Pref"={"Package"="*"}}
# n\n\n# 'K C-Z\n	{"Pref"={"#comment"="n"}}{"Pref"={"#comment"="'K C-Z"}}
Explanation: \n\nPackage: M\n	{"Pref"={"Explanation"=""}}{"Pref"={"Package"="M"}}
Pin: 5\n	{"Pref"={"Pin"="5"}}
Pin: U\n\nExplanation: j\n	{"Pref"={"Pin"="U"}}{"Pref"={"Explanation"="j"}}
Explanation: \n	{"Pref"={"Explanation"=""}}
Pin-Priority: 5\n	{"Pref"={"Pin-Priority"="5"}}
# CAMD\n\n# 9\n	{"Pref"={"#comment"="CAMD"}}{"Pref"={"#comment"="9"}}
Package: *\n	{"Pref"={"Package"="*"}}
Pin: \n	{"Pref"={"Pin"=""}}
Pin-Priority: 8\n	{"Pref"={"Pin-Priority"="8"}}
Package: *\n\nExplanation: Z_\n\n# A\n\nPin: .n\n	{"Pref"={"Package"="*"}}{"Pref"={"Explanation"="Z_"}}{"Pref"={"#comment"="A"}}{"Pref"={"Pin"=".n"}}
Pin: v-M\n	{"Pref"={"Pin"="v-M"}}
Package: \n	{"Pref"={"Package"=""}}
# \n\nPackage: jx'UR\n	{"Pref"={"#comment"=""}}{"Pref"={"Package"="jx'UR"}}
Package: \n	{"Pref"={"Package"=""}}
Package: *\n\nPin-Priority: 7\n\nPin-Priority: 736\n	{"Pref"={"Package"="*"}}{"Pref"={"Pin-Priority"="7"}}{"Pref"={"Pin-Priority"="736"}}
Pin-Priority: 9\n	{"Pref"={"Pin-Priority"="9"}}
Package: *\n	{"Pref"={"Package"="*"}}
# h\n\nExplanation: r\n\nExplanation: \n\nPin: w\n	{"Pref"={"#comment"="h"}}{"Pref"={"Explanation"="r"}}{"Pref"={"Explanation"=""}}{"Pref"={"Pin"="w"}}
Pin: 4'FV\n\nExplanation: \n\nPin: =Q5\n\nPin-Priority: 5\n\nPin: jk\n\nExplanation: d2\n	{"Pref"={"Pin"="4'FV"}}{"Pref"={"Explanation"=""}}{"Pref"={"Pin"="=Q5"}}{"Pref"={"Pin-Priority"="5"}}{"Pref"={"Pin"="jk"}}{"Pref"={"Explanation"="d2"}}
Explanation: p'\n	{"Pref"={"Explanation"="p'"}}
Explanation: WuI\n	{"Pref"={"Explanation"="WuI"}}
Pin: \n\nPackage: \n\nExplanation: E\n\nPackage: *\n\n# \n	{"Pref"={"Pin"=""}}{"Pref"={"Package"=""}}{"Pref"={"Explanation"="E"}}{"Pref"={"Package"="*"}}{"Pref"={"#comment"=""}}
Pin-Priority: 6\n	{"Pref"={"Pin-Priority"="6"}}
# 3b\n\nPin: 4C\n\nPin: \n\nPackage: *\n\n# DF0\n\nPackage: *\n\nPin: 8S\n\nPin-Priority: 14\n	{"Pref"={"#comment"="3b"}}{"Pref"={"Pin"="4C"}}{"Pref"={"Pin"=""}}{"Pref"={"Package"="*"}}{"Pref"={"#comment"="DF0"}}{"Pref"={"Package"="*"}}{"Pref"={"Pin"="8S"}}{"Pref"={"Pin-Priority"="14"}}
Pin: \n\nExplanation: \n	{"Pref"={"Pin"=""}}{"Pref"={"Explanation"=""}}
Pin: vgjjOWO\n	{"Pref"={"Pin"="vgjjOWO"}}
Explanation: "bBK_GDyoH\n\nPackage: *\n	{"Pref"={"Explanation"=""bBK_GDyoH"}}{"Pref"={"Package"="*"}}
Pin-Priority: 843\n	{"Pref"={"Pin-Priority"="843"}}
Package: '\n\nExplanation: UwU\n	{"Pref"={"Package"="'"}}{"Pref"={"Explanation"="UwU"}}
# BIs\n	{"Pref"={"#comment"="BIs"}}
Package: *\n\nPin-Priority: 76\n	{"Pref"={"Package"="*"}}{"Pref"={"Pin-Priority"="76"}}
# \n\nPackage: J\n	{"Pref"={"#comment"=""}}{"Pref"={"Package"="J"}}
# L\n\nExplanation: .T\n	{"Pref"={"#comment"="L"}}{"Pref"={"Explanation"=".T"}}
Pin: \n\nExplanation: +\n	{"Pref"={"Pin"=""}}{"Pref"={"Explanation"="+"}}
Explanation: T\n	{"Pref"={"Explanation"="T"}}
Package: \n\nPin-Priority: 255136663\n\nPin: \n	{"Pref"={"Package"=""}}{"Pref"={"Pin-Priority"="255136663"}}{"Pref"={"Pin"=""}}
Pin: -\n\nPin: \n\n# \n\nPin-Priority: 4\n\n# \n\nPackage: *\n	{"Pref"={"Pin"="-"}}{"Pref"={"Pin"=""}}{"Pref"={"#comment"=""}}{"Pref"={"Pin-Priority"="4"}}{"Pref"={"#comment"=""}}{"Pref"={"Package"="*"}}
Pin-Priority: 4\n\nPin: \n\n# \n\n# \n	{"Pref"={"Pin-Priority"="4"}}{"Pref"={"Pin"=""}}{"Pref"={"#comment"=""}}{"Pref"={"#comment"=""}}
Explanation: Aq\n\nExplanation: \n\nPin: vXe\n\nExplanation: 7\n\nPin-Priority: 0587\n\nPin: "\n	{"Pref"={"Explanation"="Aq"}}{"Pref"={"Explanation"=""}}{"Pref"={"Pin"="vXe"}}{"Pref"={"Explanation"="7"}}{"Pref"={"Pin-Priority"="0587"}}{"Pref"={"Pin"="""}}
Pin-Priority: 5\n\nPin: 2i\n\nPin: \n\nExplanation: FA3fx\n\nPackage: GN\n\nPin: +\n	{"Pref"={"Pin-Priority"="5"}}{"Pref"={"Pin"="2i"}}{"Pref"={"Pin"=""}}{"Pref"={"Explanation"="FA3fx"}}{"Pref"={"Package"="GN"}}{"Pref"={"Pin"="+"}}
Explanation: \n\nPackage: *\n\nPin-Priority: 0\n\nPin: \n	{"Pref"={"Explanation"=""}}{"Pref"={"Package"="*"}}{"Pref"={"Pin-Priority"="0"}}{"Pref"={"Pin"=""}}
# \n\nPin: EcG3\n	{"Pref"={"#comment"=""}}{"Pref"={"Pin"="EcG3"}}
Pin-Priority: 155\n\nPin: uNH\n\nExplanation: Y\n\n# 1T6\n	{"Pref"={"Pin-Priority"="155"}}{"Pref"={"Pin"="uNH"}}{"Pref"={"Explanation"="Y"}}{"Pref"={"#comment"="1T6"}}
Pin: \n\nPin: "\n\nPin-Priority: 32\n	{"Pref"={"Pin"=""}}{"Pref"={"Pin"="""}}{"Pref"={"Pin-Priority"="32"}}
Pin: \n\nPin: 5/\n	{"Pref"={"Pin"=""}}{"Pref"={"Pin"="5/"}}
# \n\n# Eof\n\nExplanation: DAjy:XI\n\nPin-Priority: 24\n	{"Pref"={"#comment"=""}}{"Pref"={"#comment"="Eof"}}{"Pref"={"Explanation"="DAjy:XI"}}{"Pref"={"Pin-Priority"="24"}}
# PuA\n\nPin-Priority: 5\n	{"Pref"={"#comment"="PuA"}}{"Pref"={"Pin-Priority"="5"}}
Package: *\n	{"Pref"={"Package"="*"}}
Package: \n	{"Pref"={"Package"=""}}
# q\n	{"Pref"={"#comment"="q"}}
Explanation: \n\nPin: t\n\nPin-Priority: 67\n\nPin: S\n\n# \n	{"Pref"={"Explanation"=""}}{"Pref"={"Pin"="t"}}{"Pref"={"Pin-Priority"="67"}}{"Pref"={"Pin"="S"}}{"Pref"={"#comment"=""}}
# \n\nPin-Priority: 8237\n\nPin-Priority: 841\n\n# \n\nPin-Priority: 0\n\nPin: Fo\n\nPin: \n\nPackage: *\n	{"Pref"={"#comment"=""}}{"Pref"={"Pin-Priority"="8237"}}{"Pref"={"Pin-Priority"="841"}}{"Pref"={"#comment"=""}}{"Pref"={"Pin-Priority"="0"}}{"Pref"={"Pin"="Fo"}}{"Pref"={"Pin"=""}}{"Pref"={"Package"="*"}}
Pin: T\n	{"Pref"={"Pin"="T"}}
Package: 1\n\nPin-Priority: 30\n\n# 8\n\nExplanation: \n\nExplanation: \n\nExplanation: \n	{"Pref"={"Package"="1"}}{"Pref"={"Pin-Priority"="30"}}{"Pref"={"#comment"="8"}}{"Pref"={"Explanation"=""}}{"Pref"={"Explanation"=""}}{"Pref"={"Explanation"=""}}
Pin: a\n	{"Pref"={"Pin"="a"}}
Pin: MO\n	{"Pref"={"Pin"="MO"}}
Pin-Priority: 3430\n\nPackage: p\n	{"Pref"={"Pin-Priority"="3430"}}{"Pref"={"Package"="p"}}
Explanation: P\n\nPin: \n\nPackage: /\n\nPackage: "f\n\nPin: D1D\n	{"Pref"={"Explanation"="P"}}{"Pref"={"Pin"=""}}{"Pref"={"Package"="/"}}{"Pref"={"Package"=""f"}}{"Pref"={"Pin"="D1D"}}
# -l\n\n# \n\n# \n	{"Pref"={"#comment"="-l"}}{"Pref"={"#comment"=""}}{"Pref"={"#comment"=""}}
Pin: 5\n\n# L.RE1v\n\n# \n	{"Pref"={"Pin"="5"}}{"Pref"={"#comment"="L.RE1v"}}{"Pref"={"#comment"=""}}
Pin: AZnd\n\n#  f\n	{"Pref"={"Pin"="AZnd"}}{"Pref"={"#comment"=" f"}}
Pin: \n\nPin-Priority: 60\n\n# Fwh\n	{"Pref"={"Pin"=""}}{"Pref"={"Pin-Priority"="60"}}{"Pref"={"#comment"="Fwh"}}
Explanation: P3\n\nPin: ev\n\nPin-Priority: 10876\n\nExplanation: RPv\n\n# :O1l2YC-KE1kq\n	{"Pref"={"Explanation"="P3"}}{"Pref"={"Pin"="ev"}}{"Pref"={"Pin-Priority"="10876"}}{"Pref"={"Explanation"="RPv"}}{"Pref"={"#comment"=":O1l2YC-KE1kq"}}
Pin: \n\nExplanation: \n\nPackage: *\n	{"Pref"={"Pin"=""}}{"Pref"={"Explanation"=""}}{"Pref"={"Package"="*"}}
Package: 3\n\nPackage: 8isW\n	{"Pref"={"Package"="3"}}{"Pref"={"Package"="8isW"}}
Explanation: TFX\n	{"Pref"={"Explanation"="TFX"}}
Package: *\n\nPin: \n\nExplanation: 4\n\n# \n\nPin: .\n	{"Pref"={"Package"="*"}}{"Pref"={"Pin"=""}}{"Pref"={"Explanation"="4"}}{"Pref"={"#comment"=""}}{"Pref"={"Pin"="."}}
Pin-Priority: 7\n\nPin: \n\nExplanation: 6d5FIJT\n\nPin-Priority: 043\n\nPackage: *\n	{"Pref"={"Pin-Priority"="7"}}{"Pref"={"Pin"=""}}{"Pref"={"Explanation"="6d5FIJT"}}{"Pref"={"Pin-Priority"="043"}}{"Pref"={"Package"="*"}}
Pin-Priority: 748\n\nExplanation: \n\n# Lv\n	{"Pref"={"Pin-Priority"="748"}}{"Pref"={"Explanation"=""}}{"Pref"={"#comment"="Lv"}}
Explanation: \n\nPin-Priority: 33\n	{"Pref"={"Explanation"=""}}{"Pref"={"Pin-Priority"="33"}}
Explanation: /\n\nExplanation: c\n	{"Pref"={"Explanation"="/"}}{"Pref"={"Explanation"="c"}}
# Ts-\n\nPin-Priority: 25545\n	{"Pref"={"#comment"="Ts-"}}{"Pref"={"Pin-Priority"="25545"}}
Pin: si\n	{"Pref"={"Pin"="si"}}
Explanation: oF\n\n# \n	{"Pref"={"Explanation"="oF"}}{"Pref"={"#comment"=""}}
Pin: j\n\nPackage: *\n	{"Pref"={"Pin"="j"}}{"Pref"={"Package"="*"}}
Pin-Priority: 7\n\n# 8\n	{"Pref"={"Pin-Priority"="7"}}{"Pref"={"#comment"="8"}}
# hi\n	{"Pref"={"#comment"="hi"}}
# Mm\n\nPin: 7\n\nPin: \n	{"Pref"={"#comment"="Mm"}}{"Pref"={"Pin"="7"}}{"Pref"={"Pin"=""}}
Package: *\n\nPackage: *\n	{"Pref"={"Package"="*"}}{"Pref"={"Package"="*"}}
# V-\n\nExplanation: \n\n# Lj\n\n# /6Fi\n\n# 1\n\n# Ov\n	{"Pref"={"#comment"="V-"}}{"Pref"={"Explanation"=""}}{"Pref"={"#comment"="Lj"}}{"Pref"={"#comment"="/6Fi"}}{"Pref"={"#comment"="1"}}{"Pref"={"#comment"="Ov"}}
Package: i.\n	{"Pref"={"Package"="i."}}
Pin: 9O\n	{"Pref"={"Pin"="9O"}}
# \n	{"Pref"={"#comment"=""}}
Pin-Priority: 048\n\nPackage: \n	{"Pref"={"Pin-Priority"="048"}}{"Pref"={"Package"=""}}
Pin-Priority: 57\n	{"Pref"={"Pin-Priority"="57"}}
Pin: \n	{"Pref"={"Pin"=""}}
Explanation: ZIkyCE\n\nPin-Priority: 11\n\nPin-Priority: 71\n\nPin: i\n\n# \n\nPin: 4q\n	{"Pref"={"Explanation"="ZIkyCE"}}{"Pref"={"Pin-Priority"="11"}}{"Pref"={"Pin-Priority"="71"}}{"Pref"={"Pin"="i"}}{"Pref"={"#comment"=""}}{"Pref"={"Pin"="4q"}}
Explanation: 1\n	{"Pref"={"Explanation"="1"}}
Package: \n	{"Pref"={"Package"=""}}
Explanation: a2\n	{"Pref"={"Explanation"="a2"}}
Explanation: J\n\nPackage: \n\n# \n	{"Pref"={"Explanation"="J"}}{"Pref"={"Package"=""}}{"Pref"={"#comment"=""}}
Package: *\n	{"Pref"={"Package"="*"}}
Explanation: k\n\nPin: \n	{"Pref"={"Explanation"="k"}}{"Pref"={"Pin"=""}}
# aaH\n	{"Pref"={"#comment"="aaH"}}
Explanation: +\n\nPin-Priority: 877\n\nExplanation: Bi0\n\nPin-Priority: 41\n\nExplanation: \n\nPin: DD\n\nExplanation: \n	{"Pref"={"Explanation"="+"}}{"Pref"={"Pin-Priority"="877"}}{"Pref"={"Explanation"="Bi0"}}{"Pref"={"Pin-Priority"="41"}}{"Pref"={"Explanation"=""}}{"Pref"={"Pin"="DD"}}{"Pref"={"Explanation"=""}}
# LQ.\n\nPin-Priority: 2\n	{"Pref"={"#comment"="LQ."}}{"Pref"={"Pin-Priority"="2"}}
# B\n	{"Pref"={"#comment"="B"}}
Pin-Priority: 568\n\nPin: \n\nExplanation: \n\nPackage: wps'\n\nPackage: *\n\nExplanation: /ZL\n\nPin-Priority: 277\n\nPackage: J\n	{"Pref"={"Pin-Priority"="568"}}{"Pref"={"Pin"=""}}{"Pref"={"Explanation"=""}}{"Pref"={"Package"="wps'"}}{"Pref"={"Package"="*"}}{"Pref"={"Explanation"="/ZL"}}{"Pref"={"Pin-Priority"="277"}}{"Pref"={"Package"="J"}}
# \n	{"Pref"={"#comment"=""}}
Pin-Priority: 6868\n\nPin: \n\nExplanation: \n\nPackage: _I\n\nExplanation: L\n\nPin: m\n\nPackage: e\n	{"Pref"={"Pin-Priority"="6868"}}{"Pref"={"Pin"=""}}{"Pref"={"Explanation"=""}}{"Pref"={"Package"="_I"}}{"Pref"={"Explanation"="L"}}{"Pref"={"Pin"="m"}}{"Pref"={"Package"="e"}}
Explanation: d\n	{"Pref"={"Explanation"="d"}}
Pin: \n	{"Pref"={"Pin"=""}}
Pin: .\n\nPin: 5oVyG \n\nPackage: \n\nExplanation: Y\n\nPackage: *\n\nPackage: \n	{"Pref"={"Pin"="."}}{"Pref"={"Pin"="5oVyG "}}{"Pref"={"Package"=""}}{"Pref"={"Explanation"="Y"}}{"Pref"={"Package"="*"}}{"Pref"={"Package"=""}}
Package: "\n\nPin: Y\n\nPin: \n\n# S.5\n	{"Pref"={"Package"="""}}{"Pref"={"Pin"="Y"}}{"Pref"={"Pin"=""}}{"Pref"={"#comment"="S.5"}}
# Sr\n	{"Pref"={"#comment"="Sr"}}
Pin: IfXlyO\n\n# X\n\nPin: \n	{"Pref"={"Pin"="IfXlyO"}}{"Pref"={"#comment"="X"}}{"Pref"={"Pin"=""}}
# 4\n	{"Pref"={"#comment"="4"}}
Package: \n	{"Pref"={"Package"=""}}
Pin-Priority: 8\n\n# \n\nPackage: *\n\nExplanation: \n\nExplanation: vS\n	{"Pref"={"Pin-Priority"="8"}}{"Pref"={"#comment"=""}}{"Pref"={"Package"="*"}}{"Pref"={"Explanation"=""}}{"Pref"={"Explanation"="vS"}}
# h5Oj\n	{"Pref"={"#comment"="h5Oj"}}
# \n\nPin-Priority: 2405\n\nPin-Priority: 3\n	{"Pref"={"#comment"=""}}{"Pref"={"Pin-Priority"="2405"}}{"Pref"={"Pin-Priority"="3"}}
Explanation: \n	{"Pref"={"Explanation"=""}}
Pin-Priority: 7\n\nPin: s\n\nPin-Priority: 7\n	{"Pref"={"Pin-Priority"="7"}}{"Pref"={"Pin"="s"}}{"Pref"={"Pin-Priority"="7"}}
Package: *\n	{"Pref"={"Package"="*"}}
Package: *\n	{"Pref"={"Package"="*"}}
Package: za\n	{"Pref"={"Package"="za"}}
Explanation: \n\nPin-Priority: 88589034\n\nPin-Priority: 68580\n\n# bat\n\nPackage: \n	{"Pref"={"Explanation"=""}}{"Pref"={"Pin-Priority"="88589034"}}{"Pref"={"Pin-Priority"="68580"}}{"Pref"={"#comment"="bat"}}{"Pref"={"Package"=""}}
Pin: 6\n	{"Pref"={"Pin"="6"}}
# Zp\n\n# \n	{"Pref"={"#comment"="Zp"}}{"Pref"={"#comment"=""}}
# \n	{"Pref"={"#comment"=""}}
Pin: \n\nExplanation: \n	{"Pref"={"Pin"=""}}{"Pref"={"Explanation"=""}}
Package: *\n	{"Pref"={"Package"="*"}}
Pin: \n	{"Pref"={"Pin"=""}}
Explanation: \n\nPin: \n\nPin-Priority: 636\n	{"Pref"={"Explanation"=""}}{"Pref"={"Pin"=""}}{"Pref"={"Pin-Priority"="636"}}
Package: 8aW\n\n# \n\nPin-Priority: 58\n\nPin: 5q\n	{"Pref"={"Package"="8aW"}}{"Pref"={"#comment"=""}}{"Pref"={"Pin-Priority"="58"}}{"Pref"={"Pin"="5q"}}
# 9\n\nPackage: KE\n	{"Pref"={"#comment"="9"}}{"Pref"={"Package"="KE"}}
# \n\nPin-Priority: 1\n\nPackage: I\n\nPin: X\n\nPin: \n	{"Pref"={"#comment"=""}}{"Pref"={"Pin-Priority"="1"}}{"Pref"={"Package"="I"}}{"Pref"={"Pin"="X"}}{"Pref"={"Pin"=""}}
# 1\n	{"Pref"={"#comment"="1"}}
# P\n\n# De\n\nPin: \n\nExplanation: FRE\n\nPackage: *\n	{"Pref"={"#comment"="P"}}{"Pref"={"#comment"="De"}}{"Pref"={"Pin"=""}}{"Pref"={"Explanation"="FRE"}}{"Pref"={"Package"="*"}}
Pin: \n\n# F22T\n\nPin: \n\n# Glqz\n	{"Pref"={"Pin"=""}}{"Pref"={"#comment"="F22T"}}{"Pref"={"Pin"=""}}{"Pref"={"#comment"="Glqz"}}
# KK2a\n\nExplanation: \n\nExplanation: \n\nPin: -\n\nPin-Priority: 7\n\nPin-Priority: 7793859026313\n\nPackage: \n\nPackage: *\n\nPackage: \n\nPin: u1Pu\n	{"Pref"={"#comment"="KK2a"}}{"Pref"={"Explanation"=""}}{"Pref"={"Explanation"=""}}{"Pref"={"Pin"="-"}}{"Pref"={"Pin-Priority"="7"}}{"Pref"={"Pin-Priority"="7793859026313"}}{"Pref"={"Package"=""}}{"Pref"={"Package"="*"}}{"Pref"={"Package"=""}}{"Pref"={"Pin"="u1Pu"}}
Package: *\n\nPin-Priority: 14\n\nPin-Priority: 823786\n	{"Pref"={"Package"="*"}}{"Pref"={"Pin-Priority"="14"}}{"Pref"={"Pin-Priority"="823786"}}
Package: \n	{"Pref"={"Package"=""}}
Pin-Priority: 6770306\n\nPin-Priority: 246\n	{"Pref"={"Pin-Priority"="6770306"}}{"Pref"={"Pin-Priority"="246"}}
Pin-Priority: 63\n\nPin-Priority: 008\n\nPin: \n	{"Pref"={"Pin-Priority"="63"}}{"Pref"={"Pin-Priority"="008"}}{"Pref"={"Pin"=""}}
Explanation: \n	{"Pref"={"Explanation"=""}}
Explanation: :E\n\nPin: \n\nExplanation: V\n	{"Pref"={"Explanation"=":E"}}{"Pref"={"Pin"=""}}{"Pref"={"Explanation"="V"}}
