JA, G	ja g
F, C	f c
UU, D	uu d
DNY, ZZW	dny zzw
FNK, D	fnk d
GUV, WWD	guv wwd
GUNJ, GI	gunj gi
TD, NS	td ns
MA, Z	ma z
E, RFPPI	e rfppi
BQCAA, AZVUG	bqcaa azvug
BHQX, A	bhqx a
BBDUFH, PF	bbdufh pf
WW, IWM	ww iwm
VVNME, ZJ	vvnme zj
WDSY, NE	wdsy ne
A, Y	a y
BQ, R	bq r
FJ, Z	fj z
AZN, Q	azn q
E, K	e k
Q, U	q u
TK, W	tk w
C, QIJ	c qij
ZXVSPFW, LX	zxvspfw lx
INKEJ, E	inkej e
BLJW, KGSMZK	bljw kgsmzk
YRB, J	yrb j
HSWNO, P	hswno p
Y, ED	y ed
UC, EH	uc eh
J, WOT	j wot
GCFMRC, J	gcfmrc j
XU, A	xu a
H, XJZ	h xjz
D, D	d d
XPG, XQG	xpg xqg
DO, BVSP	do bvsp
SUL, BPVEMKJC	sul bpvemkjc
U, XEZC	u xezc
G, M	g m
UB, J	ub j
Q, F	q f
V, KOWURGVLC	v kowurgvlc
L, V	l v
NID, Z	nid z
N, LSN	n lsn
KP, JD	kp jd
W, V	w v
MIPR, PFCHVFQH	mipr pfchvfqh
K, XUE	k xue
V, F	v f
GOH, XG	goh xg
ST, Y	st y
NSSLQ, SD	nsslq sd
MMX, HAOU	mmx haou
QEEQ, VJYM	qeeq vjym
E, W	e w
V, RRORWKQWINXN	v rrorwkqwinxn
W, SCGH	w scgh
B, PMC	b pmc
U, KB	u kb
YIWDW, YZF	yiwdw yzf
ZR, WM	zr wm
I, LZ	i lz
N, UKJ	n ukj
WQWY, XYYV	wqwy xyyv
SQG, Y	sqg y
R, P	r p
AEFSVJ, V	aefsvj v
Z, H	z h
MQBZWKCSF, GN	mqbzwkcsf gn
ZY, XLYD	zy xlyd
O, B	o b
XLZJT, ACV	xlzjt acv
TZO, K	tzo k
CUE, LNY	cue lny
I, LG	i lg
EMJ, SE	emj se
L, MB	l mb
UW, DJ	uw dj
U, INF	u inf
X, F	x f
TGJ, JEQRQW	tgj jeqrqw
X, ASR	x asr
O, JZ	o jz
Q, DC	q dc
FNH, M	fnh m
G, G	g g
D, U	d u
L, UDYWCA	l udywca
HD, LHKOGDDU	hd lhkogddu
B, RY	b ry
PI, KQWJIC	pi kqwjic
Y, W	y w
U, W	u w
L, X	l x
LYOJ, Y	lyoj y
A, X	a x
G, XU	g xu
Q, W	q w
J, F	j f
DKULN, BU	dkuln bu
FRQQ, QVJUZ	frqq qvjuz
KA, TN	ka tn
T, PVZW	t pvzw
MG, JX	mg jx
I, HY	i hy
Y, H	y h
DM, KYVJ	dm kyvj
O, E	o e
N, QQZ	n qqz
AVLC, LCP	avlc lcp
B, Q	b q
T, NT	t nt
K, AZ	k az
K, XNUICB	k xnuicb
F, G	f g
WRSQQ, PBE	wrsqq pbe
DFVJ, L	dfvj l
WK, RVSUG	wk rvsug
O, USUMHM	o usumhm
ZC, PLV	zc plv
RP, N	rp n
EUT, V	eut v
T, FVWPY	t fvwpy
YVCIMBH, E	yvcimbh e
M, RI	m ri
G, FA	g fa
XC, EC	xc ec
OKR, PL	okr pl
A, MV	a mv
Q, LVTN	q lvtn
BJVHM, SF	bjvhm sf
HI, GUGA	hi guga
IDE, AHOQTF	ide ahoqtf
X, VAL	x val
XNUCH, XA	xnuch xa
WK, DSRCFRIWCGR	wk dsrcfriwcgr
JLXXQLX, GQTOPDH	jlxxqlx gqtopdh
O, MRIH	o mrih
R, RD	r rd
ASFK, YOBEC	asfk yobec
GQ, J	gq j
BWQE, HMNZHK	bwqe hmnzhk
CV, U	cv u
G, DOM	g dom
KECXO, KE	kecxo ke
XD, SYZ	xd syz
N, M	n m
QDAS, GOD	qdas god
TKP, O	tkp o
K, QVAHW	k qvahw
Z, XU	z xu
UTZT, X	utzt x
MGJKLLCMILWDLP, XW	mgjkllcmilwdlp xw
U, Q	u q
LQSJ, JE	lqsj je
OBWL, R	obwl r
WRRP, T	wrrp t
I, Q	i q
NO, JP	no jp
JV, WYW	jv wyw
AL, S	al s
Z, BP	z bp
ZOL, FUJY	zol fujy
M, N	m n
VHSJ, GA	vhsj ga
C, K	c k
DB, NPMK	db npmk
MUM, S	mum s
OQKIF, X	oqkif x
Z, PH	z ph
T, NQ	t nq
AK, E	ak e
ZK, FJBLLF	zk fjbllf
V, WU	v wu
VIV, ZOGB	viv zogb
L, AO	l ao
UHM, RYKSF	uhm ryksf
EKFD, I	ekfd i
V, PW	v pw
U, PMZ	u pmz
KU, NDLH	ku ndlh
WW, YQ	ww yq
G, IV	g iv
BM, J	bm j
EJ, O	ej o
TT, M	tt m
MRP, S	mrp s
E, K	e k
H, ENZDVYOW	h enzdvyow
B, QX	b qx
U, ACC	u acc
ZKTM, M	zktm m
HQ, TDIMQK	hq tdimqk
QYY, DNSLOI	qyy dnsloi
YGDZ, E	ygdz e
A, G	a g
SF, VOA	sf voa
JQCV, V	jqcv v
E, MBEKCZAKAL	e mbekczakal
LJ, KQ	lj kq
BOX, XGO	box xgo
LAWVW, PN	lawvw pn
IPSSXR, F	ipssxr f
T, L	t l
DC, GTPRZXSM	dc gtprzxsm
TCDQRU, I	tcdqru i
I, XT	i xt
YHQGN, KXZ	yhqgn kxz
UF, PLLXEKYF	uf pllxekyf
K, Q	k q
MXW, L	mxw l
AWP, BN	awp bn
YB, W	yb w
OYBA, CGE	oyba cge
TSVWA, D	tsvwa d
EZT, OCXI	ezt ocxi
UW, CWMWZH	uw cwmwzh
I, FGCB	i fgcb
YJ, FYHZO	yj fyhzo
V, H	v h
V, AAAD	v aaad
ND, DDGUAXGNT	nd ddguaxgnt
EM, YN	em yn
CDVZ, Y	cdvz y
AXF, HSL	axf hsl
JO, EY	jo ey
PAUUM, PGCMV	pauum pgcmv
QNMUVYO, N	qnmuvyo n
F, GG	f gg
FA, FN	fa fn
VFSO, Q	vfso q
FC, INF	fc inf
G, B	g b
L, K	l k
V, PH	v ph
G, PB	g pb
TRXK, M	trxk m
Y, AWGX	y awgx
L, IFMD	l ifmd
YQE, E	yqe e
I, BJ	i bj
CVW, B	cvw b
JG, WAMXCXV	jg wamxcxv
C, DT	c dt
H, ZL	h zl
X, NMC	x nmc
RD, WA	rd wa
YI, N	yi n
DE, PAY	de pay
ROMT, FQSGVJF	romt fqsgvjf
OTZI, HEUW	otzi heuw
YB, CYBD	yb cybd
R, I	r i
JN, YOXJZ	jn yoxjz
X, X	x x
T, YR	t yr
X, Q	x q
YMWY, LMFN	ymwy lmfn
ZJ, Y	zj y
L, T	l t
CKJ, T	ckj t
I, PWBS	i pwbs
V, UM	v um
BVK, F	bvk f
APAA, KGH	apaa kgh
XBFBN, WHGHE	xbfbn whghe
DYW, WSS	dyw wss
CUL, L	cul l
UBK, T	ubk t
PFSLI, F	pfsli f
LA, H	la h
RK, A	rk a
YJ, UN	yj un
ABU, VZ	abu vz
PQQNYZ, ZBMIXJ	pqqnyz zbmixj
T, SGZRGNYPXQGF	t sgzrgnypxqgf
N, U	n u
X, BQKK	x bqkk
R, BRO	r bro
LJ, ISPEXAC	lj ispexac
AET, QU	aet qu
HUUDFRDA, R	huudfrda r
Q, DOA	q doa
UMLXU, FDZ	umlxu fdz
N, XR	n xr
TS, HJ	ts hj
YLVHZ, KQYN	ylvhz kqyn
VQA, LO	vqa lo
EQEFJ, DWZRZLNQUZF	eqefj dwzrzlnquzf
M, VHS	m vhs
RHX, PVO	rhx pvo
B, P	b p
B, RBZ	b rbz
Y, LW	y lw
Y, N	y n
N, YN	n yn
PE, K	pe k
BXXLJ, WDJ	bxxlj wdj
L, XR	l xr
M, F	m f
ML, P	ml p
P, YQQ	p yqq
K, MPPOIQ	k mppoiq
H, J	h j
Q, FV	q fv
VQIWRS, NF	vqiwrs nf
EHN, L	ehn l
CEIMITD, M	ceimitd m
V, U	v u
IOSJ, NR	iosj nr
V, DW	v dw
C, Y	c y
A, C	a c
OH, SPEW	oh spew
AJOGY, GNAIQI	ajogy gnaiqi
SCS, Y	scs y
D, HMBQ	d hmbq
DVT, UDQ	dvt udq
ANTDZL, SWLWWJ	antdzl swlwwj
O, K	o k
BVU, HFV	bvu hfv
RJUVRCR, TV	rjuvrcr tv
N, VBFTVNCKC	n vbftvnckc
G, ZIV	g ziv
K, CT	k ct
MOMFKQZNBKCEFEB, U	momfkqznbkcefeb u
AVJ, A	avj a
DKJZLI, MECWWZW	dkjzli mecwwzw
S, KA	s ka
F, IXM	f ixm
ND, S	nd s
XPG, GED	xpg ged
CKC, UU	ckc uu
GLQ, YK	glq yk
LKOGRR, XAXV	lkogrr xaxv
MQQP, L	mqqp l
EB, CR	eb cr
AIORF, VW	aiorf vw
JR, HUW	jr huw
ILLC, J	illc j
A, P	a p
GY, I	gy i
DLH, MB	dlh mb
L, PWJDWF	l pwjdwf
FRBGIFT, Y	frbgift y
M, RILNN	m rilnn
FR, F	fr f
E, AUW	e auw
IBP, Y	ibp y
AQZK, C	aqzk c
BMBJ, I	bmbj i
H, M	h m
TAU, S	tau s
Q, GIOFANUQMP	q giofanuqmp
KSGGK, O	ksggk o
FCDWSWNV, J	fcdwswnv j
BJX, PN	bjx pn
XQ, OD	xq od
TMF, Y	tmf y
S, MQT	s mqt
Q, PJNUFMFF	q pjnufmff
KPFYZZK, YZ	kpfyzzk yz
G, K	g k
A, LL	a ll
L, F	l f
GC, TJ	gc tj
J, I	j i
DV, C	dv c
Y, H	y h
SKT, MU	skt mu
B, TCVW	b tcvw
I, FWXCD	i fwxcd
UW, L	uw l
YZAY, VSB	yzay vsb
R, CHO	r cho
W, AZ	w az
RZ, E	rz e
PU, FSLIK	pu fslik
ZR, QM	zr qm
K, ZPXH	k zpxh
T, XTMZR	t xtmzr
J, G	j g
J, QBXFG	j qbxfg
NX, ZZUY	nx zzuy
BZESGAY, J	bzesgay j
J, E	j e
L, PH	l ph
HQA, DUPY	hqa dupy
R, OIF	r oif
KCN, US	kcn us
X, OPY	x opy
G, N	g n
A, J	a j
OVBPBDB, N	ovbpbdb n
A, B	a b
DN, F	dn f
G, C	g c
ENZ, WH	enz wh
CR, FLR	cr flr
FAD, RX	fad rx
BE, KGI	be kgi
TTYQXCB, JK	ttyqxcb jk
O, EQE	o eqe
VYLB, I	vylb i
Z, CMY	z cmy
D, N	d n
QR, Y	qr y
JHEERE, N	jheere n
SY, SF	sy sf
TE, A	te a
AGC, JC	agc jc
Z, D	z d
LNG, MTH	lng mth
DX, FZ	dx fz
KU, XIO	ku xio
QVCGV, NO	qvcgv no
ED, I	ed i
BE, OPJVTUBVI	be opjvtubvi
MMEKQ, C	mmekq c
POHGX, PXWL	pohgx pxwl
YQKIXJA, T	yqkixja t
I, F	i f
GTK, OBJYTEV	gtk objytev
I, G	i g
DHAI, T	dhai t
B, X	b x
WG, CFQ	wg cfq
JSSAL, A	jssal a
CZLDK, HY	czldk hy
MAQAIFS, FMZ	maqaifs fmz
JBBP, TJWOGOHJRON	jbbp tjwogohjron
TG, T	tg t
BY, QNLTA	by qnlta
OI, Q	oi q
N, ZBU	n zbu
G, E	g e
FNG, Z	fng z
VTJK, N	vtjk n
V, RURGIDTYGAJRV	v rurgidtygajrv
Y, VPHR	y vphr
HH, JGC	hh jgc
C, Y	c y
RXH, E	rxh e
K, M	k m
NEQR, A	neqr a
B, DPYKT	b dpykt
LA, M	la m
H, F	h f
Z, A	z a
PSE, YHOWZBGV	pse yhowzbgv
KWA, YH	kwa yh
K, C	k c
IHWNJAAE, PBW	ihwnjaae pbw
U, DLM	u dlm
SO, V	so v
T, I	t i
O, D	o d
A, X	a x
TMXRRU, H	tmxrru h
R, Q	r q
SKUJ, OM	skuj om
VJ, ORPQ	vj orpq
A, VIGN	a vign
P, Q	p q
A, AD	a ad
T, JDTU	t jdtu
K, DG	k dg
S, LW	s lw
I, FAU	i fau
CC, E	cc e
IW, BF	iw bf
AWTW, KRXUMQ	awtw krxumq
ND, K	nd k
H, H	h h
XHHA, FUECSNVF	xhha fuecsnvf
N, EM	n em
D, Z	d z
UEFM, KDCTCFQKQS	uefm kdctcfqkqs
B, STLGUVIY	b stlguviy
MY, NR	my nr
X, G	x g
S, O	s o
VIIKKKJI, C	viikkkji c
G, K	g k
V, R	v r
G, ABVS	g abvs
QGG, INZEGKOG	qgg inzegkog
H, H	h h
J, Y	j y
YZ, S	yz s
FB, AD	fb ad
AADM, XGCNJW	aadm xgcnjw
OBS, A	obs a
IWUJ, YLUEDD	iwuj yluedd
EQBVENXMFOWR, MLFZ	eqbvenxmfowr mlfz
L, AQLEN	l aqlen
I, G	i g
F, OFJ	f ofj
I, QVA	i qva
EMFE, MW	emfe mw
S, W	s w
NRCJDLAFPT, NVLM	nrcjdlafpt nvlm
C, YTIOQXX	c ytioqxx
MZ, X	mz x
S, TA	s ta
DZQF, FN	dzqf fn
DC, XYCMOOBP	dc xycmoobp
CE, U	ce u
PXUGPGCUED, C	pxugpgcued c
Y, EG	y eg
A, M	a m
SJI, ITY	sji ity
QERI, JL	qeri jl
IV, F	iv f
J, C	j c
YDWF, QPU	ydwf qpu
V, CQGBK	v cqgbk
PPWTV, Q	ppwtv q
X, E	x e
L, ZQ	l zq
B, TKIDWCV	b tkidwcv
D, S	d s
E, KE	e ke
KWGEI, ITMTXISS	kwgei itmtxiss
I, NHZUPGRQWC	i nhzupgrqwc
Q, SEVT	q sevt
H, F	h f
NH, N	nh n
XBD, S	xbd s
QCHREDPR, IDNK	qchredpr idnk
TL, PZY	tl pzy
RH, X	rh x
R, VIY	r viy
A, YE	a ye
GGA, SH	gga sh
CW, TKN	cw tkn
EY, YQF	ey yqf
R, HSUQRQB	r hsuqrqb
O, VSO	o vso
O, LL	o ll
JE, OWGSF	je owgsf
QC, DIZ	qc diz
F, ZX	f zx
XOBU, EN	xobu en
FYGV, NLIIK	fygv nliik
R, OO	r oo
K, P	k p
SKW, OX	skw ox
XHX, IQX	xhx iqx
NEC, MRD	nec mrd
UENZBNHQS, PX	uenzbnhqs px
W, ZA	w za
RNDB, N	rndb n
ADBSDU, TAG	adbsdu tag
YUXBIZ, Y	yuxbiz y
LYYV, N	lyyv n
O, IVL	o ivl
G, SC	g sc
Q, SC	q sc
A, RA	a ra
NMN, OJ	nmn oj
T, LNTX	t lntx
CT, Q	ct q
BPY, QTF	bpy qtf
CY, R	cy r
W, ZG	w zg
LXM, QEV	lxm qev
E, AJ	e aj
WF, B	wf b
Z, XU	z xu
ET, R	et r
N, SWWHJ	n swwhj
R, DW	r dw
SV, KDRSJZ	sv kdrsjz
JM, GL	jm gl
UUSN, OXEL	uusn oxel
VYGUA, LO	vygua lo
W, JHI	w jhi
TUXPDJKOMQD, Y	tuxpdjkomqd y
XGUXT, A	xguxt a
U, G	u g
B, OQ	b oq
VBB, D	vbb d
EX, D	ex d
K, UMQ	k umq
DKE, BY	dke by
SRM, KKVM	srm kkvm
J, SBX	j sbx
A, L	a l
JRRFJEBYEPM, F	jrrfjebyepm f
RYOPP, W	ryopp w
RY, T	ry t
K, OMTOEWK	k omtoewk
AMAA, QNNWSP	amaa qnnwsp
UGE, Q	uge q
D, SJ	d sj
KW, FTO	kw fto
ETS, M	ets m
M, HUR	m hur
I, GG	i gg
KRUPBQ, YT	krupbq yt
P, KXM	p kxm
BMUCREJ, WSM	bmucrej wsm
T, S	t s
ER, JVRSFJWMSTBO	er jvrsfjwmstbo
M, V	m v
ZPO, C	zpo c
NUUS, J	nuus j
AN, OG	an og
FHY, DZ	fhy dz
JY, D	jy d
E, OQIQU	e oqiqu
O, LZPKNCZ	o lzpkncz
P, YM	p ym
E, NU	e nu
LF, U	lf u
AG, D	ag d
R, TV	r tv
KY, TV	ky tv
D, Y	d y
NPSPXRIOM, I	npspxriom i
I, RF	i rf
H, B	h b
O, ADOB	o adob
GF, YWGFCQB	gf ywgfcqb
X, HW	x hw
D, BIPKAS	d bipkas
O, WI	o wi
L, M	l m
EKV, KL	ekv kl
SVOV, H	svov h
V, K	v k
N, A	n a
HVE, XYZQJ	hve xyzqj
B, AGU	b agu
NPI, GVB	npi gvb
BJ, BK	bj bk
C, HIDNWQD	c hidnwqd
DMUIFO, QT	dmuifo qt
WD, O	wd o
AC, D	ac d
A, H	a h
K, D	k d
JSV, M	jsv m
RWHVFBXPHTYVOF, QN	rwhvfbxphtyvof qn
RBYLPTE, UEAWOQV	rbylpte ueawoqv
DDJ, WQTFF	ddj wqtff
I, JV	i jv
N, D	n d
FV, M	fv m
WWF, B	wwf b
M, H	m h
WVYKVRXYXR, Z	wvykvrxyxr z
ETA, H	eta h
SZM, LJX	szm ljx
E, T	e t
PNP, H	pnp h
BD, NLWYL	bd nlwyl
U, G	u g
MH, UD	mh ud
PYCL, OP	pycl op
DNMKIN, U	dnmkin u
IJHJV, H	ijhjv h
PO, S	po s
H, X	h x
P, IG	p ig
C, XRZY	c xrzy
EMOWRE, HC	emowre hc
P, BEX	p bex
RM, L	rm l
KA, U	ka u
T, PAT	t pat
IGPK, U	igpk u
ZBAKD, STAF	zbakd staf
CQPM, DL	cqpm dl
BV, C	bv c
R, N	r n
KQ, VM	kq vm
GDV, F	gdv f
REIR, D	reir d
AFY, IC	afy ic
TSXG, FK	tsxg fk
AT, N	at n
F, KYRXIUSQN	f kyrxiusqn
CI, A	ci a
F, G	f g
V, S	v s
AK, RN	ak rn
Z, F	z f
NGL, F	ngl f
JQ, NUJIP	jq nujip
O, ARC	o arc
TQ, Y	tq y
F, IY	f iy
T, TJCLG	t tjclg
HT, QV	ht qv
MEDNQ, U	mednq u
D, GM	d gm
A, MR	a mr
LI, L	li l
TIK, S	tik s
O, O	o o
T, M	t m
J, Z	j z
J, LG	j lg
PGBG, WB	pgbg wb
ZGQ, DC	zgq dc
A, IKNKR	a iknkr
F, PGITC	f pgitc
WLLP, TZ	wllp tz
NK, NEFIMTMYG	nk nefimtmyg
N, ICH	n ich
NM, DAEVCHXKAJ	nm daevchxkaj
T, YPFSHJ	t ypfshj
TN, RJ	tn rj
VB, RT	vb rt
W, GY	w gy
N, QH	n qh
J, O	j o
E, HG	e hg
ROOM, K	room k
V, DLK	v dlk
LFEBU, P	lfebu p
PKWC, C	pkwc c
Q, S	q s
T, I	t i
ZG, V	zg v
WR, QGNIHU	wr qgnihu
V, JLG	v jlg
CVS, Z	cvs z
E, SIDV	e sidv
W, XV	w xv
KQKI, L	kqki l
WJV, W	wjv w
FAWPL, V	fawpl v
ZDGXFY, GML	zdgxfy gml
F, VV	f vv
GOBD, V	gobd v
IJ, IJQJ	ij ijqj
NHRFQWY, NAXKL	nhrfqwy naxkl
DY, UVTD	dy uvtd
E, U	e u
R, ZG	r zg
G, KRO	g kro
W, XBI	w xbi
E, XAD	e xad
KS, LSJDAAZ	ks lsjdaaz
Q, XEJXWJN	q xejxwjn
GDQZ, MQ	gdqz mq
VCDIHQRGS, F	vcdihqrgs f
GB, E	gb e
UH, LDR	uh ldr
GKOQ, TD	gkoq td
CKQOS, KRRZIS	ckqos krrzis
FD, JRY	fd jry
QM, PTZ	qm ptz
E, N	e n
M, VKRROE	m vkrroe
FJKE, I	fjke i
Q, DF	q df
NO, PXPY	no pxpy
T, CPEEURLI	t cpeeurli
R, TAO	r tao
EG, N	eg n
QKKHHDS, DL	qkkhhds dl
JUKBX, KR	jukbx kr
YRY, LC	yry lc
F, MQJCL	f mqjcl
X, TV	x tv
R, M	r m
WD, MCW	wd mcw
H, HS	h hs
Y, HKDQ	y hkdq
O, ELKWLEVMYTY	o elkwlevmyty
H, O	h o
C, W	c w
DEUOE, H	deuoe h
JS, NH	js nh
MQLQKYIIT, JSVDV	mqlqkyiit jsvdv
R, DCU	r dcu
BI, G	bi g
F, A	f a
NGW, JK	ngw jk
BZ, BXQJJ	bz bxqjj
IZR, ZH	izr zh
K, O	k o
C, BYK	c byk
SPWZ, HKD	spwz hkd
U, JH	u jh
DY, D	dy d
DXW, BZ	dxw bz
NU, ZM	nu zm
ZXJPZ, GADB	zxjpz gadb
DA, MB	da mb
M, MOE	m moe
BYW, S	byw s
V, SD	v sd
O, QJ	o qj
S, WKUYGSZJ	s wkuygszj
V, DS	v ds
I, L	i l
O, WS	o ws
ONI, EM	oni em
QNNF, T	qnnf t
KJAMGXX, OT	kjamgxx ot
IOX, HIJXUDUHRI	iox hijxuduhri
LDOBRNIB, B	ldobrnib b
D, Z	d z
BN, HJ	bn hj
M, K	m k
A, Q	a q
F, CQJ	f cqj
CD, U	cd u
GXS, TI	gxs ti
DUL, X	dul x
TOVX, AA	tovx aa
STR, WA	str wa
NJ, NWO	nj nwo
D, Q	d q
B, DM	b dm
M, M	m m
YNQ, TLF	ynq tlf
DYR, GAE	dyr gae
XH, H	xh h
HLUN, K	hlun k
ZG, A	zg a
VRM, XGDQ	vrm xgdq
M, D	m d
UFV, I	ufv i
MVV, D	mvv d
R, EZ	r ez
VKQ, Z	vkq z
O, J	o j
M, YZHC	m yzhc
JM, G	jm g
TAR, HD	tar hd
HUZ, XDEKWM	huz xdekwm
W, KN	w kn
KOGF, MF	kogf mf
I, Q	i q
R, OKL	r okl
AQ, BOQ	aq boq
MDU, ZY	mdu zy
PV, I	pv i
Y, E	y e
T, E	t e
QMEB, EL	qmeb el
S, Y	s y
F, YYDHT	f yydht
Z, L	z l
S, Q	s q
JHY, R	jhy r
JA, UW	ja uw
T, P	t p
Q, BHAI	q bhai
W, Q	w q
B, Z	b z
S, OU	s ou
GTOWL, SWFYXPITK	gtowl swfyxpitk
GB, S	gb s
Y, X	y x
S, H	s h
L, ONEBOKLVJ	l oneboklvj
J, RI	j ri
V, KLZF	v klzf
U, VUV	u vuv
GIT, T	git t
RB, XLG	rb xlg
DD, EPFWM	dd epfwm
GWQU, L	gwqu l
B, PWO	b pwo
B, LWEK	b lwek
CUR, CJU	cur cju
O, YWHAMQ	o ywhamq
E, QY	e qy
FS, J	fs j
SL, XSUSB	sl xsusb
S, KOC	s koc
GCZL, B	gczl b
BCKFNCF, I	bckfncf i
ZL, WC	zl wc
YJQI, EX	yjqi ex
U, Y	u y
Z, DAU	z dau
DCQSP, U	dcqsp u
MK, V	mk v
PZXBWBXODE, B	pzxbwbxode b
B, IQ	b iq
F, YNJ	f ynj
Q, H	q h
AB, EJ	ab ej
ZS, M	zs m
USZ, ZN	usz zn
UMOBNWN, BQ	umobnwn bq
IIIL, Q	iiil q
L, RRSL	l rrsl
VSRC, R	vsrc r
F, DCNTTEZ	f dcnttez
V, SGS	v sgs
K, UA	k ua
E, LF	e lf
RP, IF	rp if
A, P	a p
AY, H	ay h
VMHNQ, M	vmhnq m
GJ, MDU	gj mdu
HMBMNYXXMEUKDP, A	hmbmnyxxmeukdp a
MGY, B	mgy b
I, LIHF	i lihf
OT, JGXH	ot jgxh
F, TNMGW	f tnmgw
GW, R	gw r
C, ZHWMGYQE	c zhwmgyqe
J, OT	j ot
RYW, XPQWA	ryw xpqwa
GM, MJ	gm mj
ICDEV, QLBM	icdev qlbm
U, T	u t
G, Y	g y
XS, CM	xs cm
Z, Y	z y
B, JQ	b jq
J, M	j m
TKW, U	tkw u
P, N	p n
U, GHIIP	u ghiip
WKKL, IR	wkkl ir
BFF, T	bff t
RCFI, TORIY	rcfi toriy
L, GB	l gb
DB, RRV	db rrv
UZ, C	uz c
ME, HY	me hy
C, A	c a
O, L	o l
O, V	o v
SVTI, F	svti f
HW, NHE	hw nhe
A, FOIGS	a foigs
NB, BX	nb bx
SVU, F	svu f
X, NUL	x nul
DS, W	ds w
W, LJN	w ljn
BM, GUG	bm gug
CC, C	cc c
B, PJ	b pj
ZL, OCF	zl ocf
R, PX	r px
GV, HBSA	gv hbsa
LUM, FGG	lum fgg
I, T	i t
NCCGE, YPAZ	nccge ypaz
D, F	d f
NXJ, GF	nxj gf
FNIOMU, GWPEBBFD	fniomu gwpebbfd
HYP, C	hyp c
ZL, Q	zl q
PGJ, KIKALB	pgj kikalb
LD, B	ld b
P, I	p i
V, X	v x
L, EXBE	l exbe
A, ZQ	a zq
F, EZ	f ez
QXBNQ, V	qxbnq v
H, FKI	h fki
FF, ODBRTUNKH	ff odbrtunkh
Z, U	z u
J, RHXC	j rhxc
MW, M	mw m
B, GIT	b git
IW, D	iw d
XUVX, AYNV	xuvx aynv
H, S	h s
MS, CTRFRMIY	ms ctrfrmiy
IKPBE, JJI	ikpbe jji
M, DG	m dg
Z, S	z s
O, IL	o il
KJ, W	kj w
LP, BO	lp bo
Z, D	z d
VDS, PVA	vds pva
B, O	b o
JNO, SI	jno si
AJPRMKAJG, WVU	ajprmkajg wvu
S, UI	s ui
BNM, FQ	bnm fq
YL, F	yl f
I, C	i c
IP, D	ip d
JBD, DZS	jbd dzs
FNPSY, J	fnpsy j
R, F	r f
I, XK	i xk
IYOJERA, QU	iyojera qu
CBC, WJW	cbc wjw
RM, HF	rm hf
R, BZ	r bz
ULBBUQ, O	ulbbuq o
QTHLOGX, YS	qthlogx ys
Q, M	q m
ZT, CV	zt cv
G, K	g k
KA, PAABTVYH	ka paabtvyh
X, M	x m
XDNXFFU, SWW	xdnxffu sww
FZN, BVKI	fzn bvki
CKJ, D	ckj d
L, IGK	l igk
TAT, BV	tat bv
E, C	e c
JE, M	je m
LEA, BYE	lea bye
OSYQW, RXV	osyqw rxv
VVJ, C	vvj c
RUWQZ, V	ruwqz v
Z, GQ	z gq
I, THR	i thr
VT, EI	vt ei
D, C	d c
WFF, MWCN	wff mwcn
CPG, OH	cpg oh
OATMO, UONUI	oatmo uonui
HY, G	hy g
P, I	p i
E, V	e v
QC, FBZ	qc fbz
B, QOC	b qoc
HE, GW	he gw
UGZBPYSDPROCTO, TD	ugzbpysdprocto td
U, QA	u qa
Q, A	q a
I, I	i i
IBJTGREZ, Q	ibjtgrez q
E, L	e l
IOUUNX, HT	iouunx ht
WA, MBQ	wa mbq
PBYN, Y	pbyn y
FJT, H	fjt h
C, NAY	c nay
BF, FO	bf fo
NS, IGMK	ns igmk
R, TMQ	r tmq
B, ZX	b zx
EYP, UB	eyp ub
U, VDHZ	u vdhz
C, S	c s
C, P	c p
SLPTMXEZAOA, DXD	slptmxezaoa dxd
VH, VD	vh vd
J, TDR	j tdr
DU, F	du f
WUST, SK	wust sk
UFK, IG	ufk ig
DED, IJBW	ded ijbw
SOGQ, C	sogq c
CM, O	cm o
KNTJ, IXWAVPF	kntj ixwavpf
GIFD, UAQ	gifd uaq
WVXKC, FS	wvxkc fs
EB, LJ	eb lj
KYQ, KWS	kyq kws
RIIZSYHOYBXVP, W	riizsyhoybxvp w
HDB, B	hdb b
HY, OWQP	hy owqp
Z, H	z h
VHI, N	vhi n
PJ, WMWZ	pj wmwz
PLR, U	plr u
NBQXP, F	nbqxp f
HSW, IF	hsw if
X, GEAF	x geaf
IU, JDETARW	iu jdetarw
W, Q	w q
SV, WE	sv we
JKY, RV	jky rv
DKJGCL, UK	dkjgcl uk
R, P	r p
H, QJ	h qj
N, M	n m
XR, N	xr n
J, USEOVY	j useovy
W, M	w m
ZB, XD	zb xd
H, C	h c
RY, GCEUJ	ry gceuj
JYYZMQ, HT	jyyzmq ht
E, I	e i
O, W	o w
I, GWL	i gwl
F, SH	f sh
WP, E	wp e
WO, TNLG	wo tnlg
P, TC	p tc
K, AP	k ap
I, UUY	i uuy
VP, T	vp t
AL, LZX	al lzx
KYKOYZJOCN, W	kykoyzjocn w
M, H	m h
B, OYLHC	b oylhc
DQJZ, S	dqjz s
BUL, B	bul b
O, DC	o dc
I, OCMGE	i ocmge
N, ZJK	n zjk
NG, OK	ng ok
FOWXQ, V	fowxq v
T, VE	t ve
S, OMKNOT	s omknot
ULS, A	uls a
UM, KMY	um kmy
NEN, NHER	nen nher
Z, HXMJI	z hxmji
PD, A	pd a
