# _4C\n\nExplanation: \n	{"Pref"={"#comment"="_4C"}}{"Pref"={"Explanation"=""}}
# 2I\n	{"Pref"={"#comment"="2I"}}
# r\n	{"Pref"={"#comment"="r"}}
Pin-Priority: 7\n\nPin: \n\nPin-Priority: 4900\n	{"Pref"={"Pin-Priority"="7"}}{"Pref"={"Pin"=""}}{"Pref"={"Pin-Priority"="4900"}}
Pin: g\n\nPin-Priority: 5\n\nPackage: 'j6A\n\nExplanation: 3\n\n# vhTo\n\nPin: \n\nPin-Priority: 94032\n\n# vx0\n\n# k\n\nPin: \n	{"Pref"={"Pin"="g"}}{"Pref"={"Pin-Priority"="5"}}{"Pref"={"Package"="'j6A"}}{"Pref"={"Explanation"="3"}}{"Pref"={"#comment"="vhTo"}}{"Pref"={"Pin"=""}}{"Pref"={"Pin-Priority"="94032"}}{"Pref"={"#comment"="vx0"}}{"Pref"={"#comment"="k"}}{"Pref"={"Pin"=""}}
# U\n	{"Pref"={"#comment"="U"}}
# MpC\n\nPin-Priority: 740\n	{"Pref"={"#comment"="MpC"}}{"Pref"={"Pin-Priority"="740"}}
# \n	{"Pref"={"#comment"=""}}
# s=\n	{"Pref"={"#comment"="s="}}
# =II\n	{"Pref"={"#comment"="=II"}}
# Sm\n	{"Pref"={"#comment"="Sm"}}
Pin: \n\n# 9H'\n\nPin: "\n\nPackage: U\n	{"Pref"={"Pin"=""}}{"Pref"={"#comment"="9H'"}}{"Pref"={"Pin"="""}}{"Pref"={"Package"="U"}}
# +\n\n# A4m\n\n# \n\nPin-Priority: 77152989\n\n# z\n\nPackage: *\n	{"Pref"={"#comment"="+"}}{"Pref"={"#comment"="A4m"}}{"Pref"={"#comment"=""}}{"Pref"={"Pin-Priority"="77152989"}}{"Pref"={"#comment"="z"}}{"Pref"={"Package"="*"}}
# \n\nPackage: *\n\nPin: \n\nExplanation: \n	{"Pref"={"#comment"=""}}{"Pref"={"Package"="*"}}{"Pref"={"Pin"=""}}{"Pref"={"Explanation"=""}}
# \n\n# 9\n\nPackage: *\n\nPackage: *\n\nPin-Priority: 2771\n\nPin: '_mqtx\n\n# \n\nPackage: *\n	{"Pref"={"#comment"=""}}{"Pref"={"#comment"="9"}}{"Pref"={"Package"="*"}}{"Pref"={"Package"="*"}}{"Pref"={"Pin-Priority"="2771"}}{"Pref"={"Pin"="'_mqtx"}}{"Pref"={"#comment"=""}}{"Pref"={"Package"="*"}}
Explanation: n\n	{"Pref"={"Explanation"="n"}}
Pin: /\n\nPin: \n\n# \n\n# i9vb\n\nExplanation: 0.\n	{"Pref"={"Pin"="/"}}{"Pref"={"Pin"=""}}{"Pref"={"#comment"=""}}{"Pref"={"#comment"="i9vb"}}{"Pref"={"Explanation"="0."}}
Package: Pr\n	{"Pref"={"Package"="Pr"}}
Pin-Priority: 250\n\n# \n	{"Pref"={"Pin-Priority"="250"}}{"Pref"={"#comment"=""}}
Pin: \n\n# '\n	{"Pref"={"Pin"=""}}{"Pref"={"#comment"="'"}}
Pin: G\n\nPin: p\n\nPackage: *\n\nExplanation:  25-iAJ\n\n# \n	{"Pref"={"Pin"="G"}}{"Pref"={"Pin"="p"}}{"Pref"={"Package"="*"}}{"Pref"={"Explanation"=" 25-iAJ"}}{"Pref"={"#comment"=""}}
Pin-Priority: 97530\n\n# \n\nExplanation: 2\n\n# SY0\n\nPackage: \n	{"Pref"={"Pin-Priority"="97530"}}{"Pref"={"#comment"=""}}{"Pref"={"Explanation"="2"}}{"Pref"={"#comment"="SY0"}}{"Pref"={"Package"=""}}
Explanation: +Fma\n\nPackage: *\n\nPin: Y\n\nPin-Priority: 5\n	{"Pref"={"Explanation"="+Fma"}}{"Pref"={"Package"="*"}}{"Pref"={"Pin"="Y"}}{"Pref"={"Pin-Priority"="5"}}
Package: *\n	{"Pref"={"Package"="*"}}
Package: -\n\nPin: \n\n# IW\n\nPin: wK.\n\nPackage: *\n\n# \n\nPin-Priority: 9287\n\nPin-Priority: 4\n	{"Pref"={"Package"="-"}}{"Pref"={"Pin"=""}}{"Pref"={"#comment"="IW"}}{"Pref"={"Pin"="wK."}}{"Pref"={"Package"="*"}}{"Pref"={"#comment"=""}}{"Pref"={"Pin-Priority"="9287"}}{"Pref"={"Pin-Priority"="4"}}
Package: \n\nExplanation: f\n	{"Pref"={"Package"=""}}{"Pref"={"Explanation"="f"}}
Pin: \n	{"Pref"={"Pin"=""}}
Pin-Priority: 5\n	{"Pref"={"Pin-Priority"="5"}}
Pin-Priority: 9745435\n\nPin: \n\nPin-Priority: 87\n\nPin-Priority: 45303\n\nPackage: *\n	{"Pref"={"Pin-Priority"="9745435"}}{"Pref"={"Pin"=""}}{"Pref"={"Pin-Priority"="87"}}{"Pref"={"Pin-Priority"="45303"}}{"Pref"={"Package"="*"}}
# \n\nPackage: *\n	{"Pref"={"#comment"=""}}{"Pref"={"Package"="*"}}
Pin: 01\n\nExplanation: \n\nPackage: bK\n\nPin: Q\n	{"Pref"={"Pin"="01"}}{"Pref"={"Explanation"=""}}{"Pref"={"Package"="bK"}}{"Pref"={"Pin"="Q"}}
Explanation: \n	{"Pref"={"Explanation"=""}}
Pin-Priority: 26\n	{"Pref"={"Pin-Priority"="26"}}
Pin-Priority: 7237\n	{"Pref"={"Pin-Priority"="7237"}}
Pin: n\n	{"Pref"={"Pin"="n"}}
Explanation: 's\n\nExplanation: \n\nExplanation: \n\nPackage: *\n	{"Pref"={"Explanation"="'s"}}{"Pref"={"Explanation"=""}}{"Pref"={"Explanation"=""}}{"Pref"={"Package"="*"}}
Pin: \n\n# K\n\nPin: B5\n	{"Pref"={"Pin"=""}}{"Pref"={"#comment"="K"}}{"Pref"={"Pin"="B5"}}
# =Fxa\n\nPackage: *\n\nPin-Priority: 9\n	{"Pref"={"#comment"="=Fxa"}}{"Pref"={"Package"="*"}}{"Pref"={"Pin-Priority"="9"}}
Pin-Priority: 9\n	{"Pref"={"Pin-Priority"="9"}}
Pin-Priority: 19\n	{"Pref"={"Pin-Priority"="19"}}
Package: *\n	{"Pref"={"Package"="*"}}
Package: *\n\nPin-Priority: 6\n	{"Pref"={"Package"="*"}}{"Pref"={"Pin-Priority"="6"}}
Pin: \n	{"Pref"={"Pin"=""}}
Pin: e\n\nPin: \n\n# \n\n# a:\n\nPackage: *\n\nPin-Priority: 99\n\nExplanation: \n	{"Pref"={"Pin"="e"}}{"Pref"={"Pin"=""}}{"Pref"={"#comment"=""}}{"Pref"={"#comment"="a:"}}{"Pref"={"Package"="*"}}{"Pref"={"Pin-Priority"="99"}}{"Pref"={"Explanation"=""}}
Package: *\n	{"Pref"={"Package"="*"}}
Explanation: \n	{"Pref"={"Explanation"=""}}
Explanation: bw\n	{"Pref"={"Explanation"="bw"}}
Explanation: \n	{"Pref"={"Explanation"=""}}
Pin-Priority: 0882\n\nPin-Priority: 0426\n	{"Pref"={"Pin-Priority"="0882"}}{"Pref"={"Pin-Priority"="0426"}}
# YI\n	{"Pref"={"#comment"="YI"}}
Explanation: \n\nPin-Priority: 6\n\n# \n\n# \n\n# \n	{"Pref"={"Explanation"=""}}{"Pref"={"Pin-Priority"="6"}}{"Pref"={"#comment"=""}}{"Pref"={"#comment"=""}}{"Pref"={"#comment"=""}}
Explanation: Gay\n\nPackage: *\n	{"Pref"={"Explanation"="Gay"}}{"Pref"={"Package"="*"}}
# kVs\n	{"Pref"={"#comment"="kVs"}}
Explanation: tAKG."\n\nPin-Priority: 941\n\nExplanation: Dw\n	{"Pref"={"Explanation"="tAKG.""}}{"Pref"={"Pin-Priority"="941"}}{"Pref"={"Explanation"="Dw"}}
Pin-Priority: 7\n\nPin: \n\nExplanation: 2x\n\nPin: Ba"\n\nPin: \n	{"Pref"={"Pin-Priority"="7"}}{"Pref"={"Pin"=""}}{"Pref"={"Explanation"="2x"}}{"Pref"={"Pin"="Ba""}}{"Pref"={"Pin"=""}}
Package: \n\n# 60\n\nPin: +q7PA\n	{"Pref"={"Package"=""}}{"Pref"={"#comment"="60"}}{"Pref"={"Pin"="+q7PA"}}
Explanation: \n\nExplanation: =\n\nExplanation: fNo\n\nExplanation: y'7zUV\n	{"Pref"={"Explanation"=""}}{"Pref"={"Explanation"="="}}{"Pref"={"Explanation"="fNo"}}{"Pref"={"Explanation"="y'7zUV"}}
Explanation: g\n\n# R\n	{"Pref"={"Explanation"="g"}}{"Pref"={"#comment"="R"}}
# \n\nPackage: *\n\nExplanation: Tp\n	{"Pref"={"#comment"=""}}{"Pref"={"Package"="*"}}{"Pref"={"Explanation"="Tp"}}
Pin: \n\nPin: e\n	{"Pref"={"Pin"=""}}{"Pref"={"Pin"="e"}}
# \n	{"Pref"={"#comment"=""}}
Package: *\n\nPackage: kC\n\nPackage: *\n\nPin-Priority: 84\n\nExplanation: 3U\n\nPin-Priority: 27\n	{"Pref"={"Package"="*"}}{"Pref"={"Package"="kC"}}{"Pref"={"Package"="*"}}{"Pref"={"Pin-Priority"="84"}}{"Pref"={"Explanation"="3U"}}{"Pref"={"Pin-Priority"="27"}}
Explanation: \n	{"Pref"={"Explanation"=""}}
Pin-Priority: 865\n	{"Pref"={"Pin-Priority"="865"}}
# 6XT0_bkZ=2uFMbw\n	{"Pref"={"#comment"="6XT0_bkZ=2uFMbw"}}
Explanation: _7g\n	{"Pref"={"Explanation"="_7g"}}
# \n\n# \n	{"Pref"={"#comment"=""}}{"Pref"={"#comment"=""}}
Pin: G\n	{"Pref"={"Pin"="G"}}
Explanation: PKd\n\nExplanation: If\n	{"Pref"={"Explanation"="PKd"}}{"Pref"={"Explanation"="If"}}
Pin-Priority: 0705\n	{"Pref"={"Pin-Priority"="0705"}}
Pin-Priority: 19\n\nExplanation: \n\nExplanation: \n	{"Pref"={"Pin-Priority"="19"}}{"Pref"={"Explanation"=""}}{"Pref"={"Explanation"=""}}
# +\n	{"Pref"={"#comment"="+"}}
Pin: \n\nPackage: *\n	{"Pref"={"Pin"=""}}{"Pref"={"Package"="*"}}
Pin: ZPrS\n\nPin-Priority: 6\n\nPin-Priority: 24\n	{"Pref"={"Pin"="ZPrS"}}{"Pref"={"Pin-Priority"="6"}}{"Pref"={"Pin-Priority"="24"}}
Package: J0-dRatEqq\n\n# \n	{"Pref"={"Package"="J0-dRatEqq"}}{"Pref"={"#comment"=""}}
Pin-Priority: 407\n	{"Pref"={"Pin-Priority"="407"}}
Package: \n	{"Pref"={"Package"=""}}
Pin: U\n\nPin-Priority: 4\n\n# \n\nPin-Priority: 130\n\nPin: P\n	{"Pref"={"Pin"="U"}}{"Pref"={"Pin-Priority"="4"}}{"Pref"={"#comment"=""}}{"Pref"={"Pin-Priority"="130"}}{"Pref"={"Pin"="P"}}
Pin-Priority: 2\n\n# \n\nPin: 5rH\n	{"Pref"={"Pin-Priority"="2"}}{"Pref"={"#comment"=""}}{"Pref"={"Pin"="5rH"}}
Pin-Priority: 8\n	{"Pref"={"Pin-Priority"="8"}}
Pin-Priority: 50975\n	{"Pref"={"Pin-Priority"="50975"}}
Pin-Priority: 51\n\nPackage: *\n\nPackage: *\n\nPin-Priority: 56\n\nPin: \n	{"Pref"={"Pin-Priority"="51"}}{"Pref"={"Package"="*"}}{"Pref"={"Package"="*"}}{"Pref"={"Pin-Priority"="56"}}{"Pref"={"Pin"=""}}
# _\n\nPin: p:U\n	{"Pref"={"#comment"="_"}}{"Pref"={"Pin"="p:U"}}
# 3F'4XkU9c\n	{"Pref"={"#comment"="3F'4XkU9c"}}
Explanation: \n\nPin-Priority: 5\n	{"Pref"={"Explanation"=""}}{"Pref"={"Pin-Priority"="5"}}
Explanation: \n	{"Pref"={"Explanation"=""}}
Package: *\n\nPin-Priority: 3\n	{"Pref"={"Package"="*"}}{"Pref"={"Pin-Priority"="3"}}
Pin-Priority: 057066\n\nPin-Priority: 8\n\nExplanation: \n	{"Pref"={"Pin-Priority"="057066"}}{"Pref"={"Pin-Priority"="8"}}{"Pref"={"Explanation"=""}}
Pin-Priority: 748\n	{"Pref"={"Pin-Priority"="748"}}
Pin-Priority: 56\n\nPin: +A\n	{"Pref"={"Pin-Priority"="56"}}{"Pref"={"Pin"="+A"}}
Package: \n	{"Pref"={"Package"=""}}
Pin-Priority: 313680\n\n# y\n\n# 0\n\nPin: Avp\n\n# z:0\n	{"Pref"={"Pin-Priority"="313680"}}{"Pref"={"#comment"="y"}}{"Pref"={"#comment"="0"}}{"Pref"={"Pin"="Avp"}}{"Pref"={"#comment"="z:0"}}
Explanation: \n\nPin-Priority: 7534414\n	{"Pref"={"Explanation"=""}}{"Pref"={"Pin-Priority"="7534414"}}
Pin: \n	{"Pref"={"Pin"=""}}
Explanation: 90NLc\n	{"Pref"={"Explanation"="90NLc"}}
Explanation: \n	{"Pref"={"Explanation"=""}}
# j6/\n\nExplanation: HlK_\n	{"Pref"={"#comment"="j6/"}}{"Pref"={"Explanation"="HlK_"}}
Pin: /\n\n# qpE\n\nPin: \n	{"Pref"={"Pin"="/"}}{"Pref"={"#comment"="qpE"}}{"Pref"={"Pin"=""}}
# \n\nExplanation: "B\n	{"Pref"={"#comment"=""}}{"Pref"={"Explanation"=""B"}}
Explanation: b_\n	{"Pref"={"Explanation"="b_"}}
Package: *\n\nPackage: \n\nPin: \n	{"Pref"={"Package"="*"}}{"Pref"={"Package"=""}}{"Pref"={"Pin"=""}}
# \n	{"Pref"={"#comment"=""}}
# \n\nPin: q\n\nExplanation: \n\nPin: q/\n\nExplanation: F2\n	{"Pref"={"#comment"=""}}{"Pref"={"Pin"="q"}}{"Pref"={"Explanation"=""}}{"Pref"={"Pin"="q/"}}{"Pref"={"Explanation"="F2"}}
Explanation: CrsPkrY\n	{"Pref"={"Explanation"="CrsPkrY"}}
Pin-Priority: 441\n\nPin: X"iE\n\nExplanation: v\n	{"Pref"={"Pin-Priority"="441"}}{"Pref"={"Pin"="X"iE"}}{"Pref"={"Explanation"="v"}}
Pin-Priority: 934\n	{"Pref"={"Pin-Priority"="934"}}
Pin: \n	{"Pref"={"Pin"=""}}
Explanation: \n\nPackage: \n	{"Pref"={"Explanation"=""}}{"Pref"={"Package"=""}}
# =\n	{"Pref"={"#comment"="="}}
Explanation: W0U\n\nPackage: *\n	{"Pref"={"Explanation"="W0U"}}{"Pref"={"Package"="*"}}
Pin: SbBwwJ78ubUE\n	{"Pref"={"Pin"="SbBwwJ78ubUE"}}
Package: \n\n# '\n\nPackage: *\n	{"Pref"={"Package"=""}}{"Pref"={"#comment"="'"}}{"Pref"={"Package"="*"}}
Explanation: KuYFm\n\n# W\n\nPin-Priority: 50\n	{"Pref"={"Explanation"="KuYFm"}}{"Pref"={"#comment"="W"}}{"Pref"={"Pin-Priority"="50"}}
# bIr\n	{"Pref"={"#comment"="bIr"}}
Package: \n	{"Pref"={"Package"=""}}
Explanation: 4\n\nPackage: *\n	{"Pref"={"Explanation"="4"}}{"Pref"={"Package"="*"}}
Pin: Vvt\n	{"Pref"={"Pin"="Vvt"}}
Explanation: zx\n\nPackage: C\n\n# QUE\n	{"Pref"={"Explanation"="zx"}}{"Pref"={"Package"="C"}}{"Pref"={"#comment"="QUE"}}
Pin-Priority: 430850\n	{"Pref"={"Pin-Priority"="430850"}}
# \n	{"Pref"={"#comment"=""}}
Pin: \n\n# a9V\n\nPin: .x6W:PXlSlZ-\n\n# a\n	{"Pref"={"Pin"=""}}{"Pref"={"#comment"="a9V"}}{"Pref"={"Pin"=".x6W:PXlSlZ-"}}{"Pref"={"#comment"="a"}}
Package: yAsR=\n	{"Pref"={"Package"="yAsR="}}
Pin-Priority: 718\n\nExplanation: oi\n\nPin-Priority: 6\n\nExplanation: FI\n\nPin: \n\nPin-Priority: 33\n\nPin-Priority: 96\n	{"Pref"={"Pin-Priority"="718"}}{"Pref"={"Explanation"="oi"}}{"Pref"={"Pin-Priority"="6"}}{"Pref"={"Explanation"="FI"}}{"Pref"={"Pin"=""}}{"Pref"={"Pin-Priority"="33"}}{"Pref"={"Pin-Priority"="96"}}
Explanation: \n	{"Pref"={"Explanation"=""}}
Pin-Priority: 1\n	{"Pref"={"Pin-Priority"="1"}}
# orY/SW\n\nExplanation: \n\nPin: _ZgZ\n\nPin-Priority: 8639\n\nPackage: \n\nPin-Priority: 11\n\nPin-Priority: 0\n	{"Pref"={"#comment"="orY/SW"}}{"Pref"={"Explanation"=""}}{"Pref"={"Pin"="_ZgZ"}}{"Pref"={"Pin-Priority"="8639"}}{"Pref"={"Package"=""}}{"Pref"={"Pin-Priority"="11"}}{"Pref"={"Pin-Priority"="0"}}
# T\n	{"Pref"={"#comment"="T"}}
Explanation: \n\nPin: phgmT\n\nExplanation: Nr-\n	{"Pref"={"Explanation"=""}}{"Pref"={"Pin"="phgmT"}}{"Pref"={"Explanation"="Nr-"}}
Pin-Priority: 7\n	{"Pref"={"Pin-Priority"="7"}}
Package: p\n\nPin: .\n\nPin-Priority: 8664\n\n# 'm\n	{"Pref"={"Package"="p"}}{"Pref"={"Pin"="."}}{"Pref"={"Pin-Priority"="8664"}}{"Pref"={"#comment"="'m"}}
Pin-Priority: 4\n	{"Pref"={"Pin-Priority"="4"}}
Package: b\n	{"Pref"={"Package"="b"}}
# \n	{"Pref"={"#comment"=""}}
# S\n	{"Pref"={"#comment"="S"}}
Package: *\n\nPackage: \n	{"Pref"={"Package"="*"}}{"Pref"={"Package"=""}}
Package: \n	{"Pref"={"Package"=""}}
Pin: 8\n\nPin: sC\n\nPin-Priority: 4\n\nExplanation: MhS\n\nExplanation: uHD\n\n# \n\nExplanation: 7pk\n\n# J=G\n\nPin: \n\nPin-Priority: 73\n\nExplanation:  SB65\n\n# \n\nPin-Priority: 261\n	{"Pref"={"Pin"="8"}}{"Pref"={"Pin"="sC"}}{"Pref"={"Pin-Priority"="4"}}{"Pref"={"Explanation"="MhS"}}{"Pref"={"Explanation"="uHD"}}{"Pref"={"#comment"=""}}{"Pref"={"Explanation"="7pk"}}{"Pref"={"#comment"="J=G"}}{"Pref"={"Pin"=""}}{"Pref"={"Pin-Priority"="73"}}{"Pref"={"Explanation"=" SB65"}}{"Pref"={"#comment"=""}}{"Pref"={"Pin-Priority"="261"}}
Pin: q\n\nPackage: *\n	{"Pref"={"Pin"="q"}}{"Pref"={"Package"="*"}}
Pin-Priority: 02\n	{"Pref"={"Pin-Priority"="02"}}
Explanation: x\n	{"Pref"={"Explanation"="x"}}
Pin: :b=z\n\nExplanation: \n\nPackage: \n\nExplanation: \n\nPin: B\n\n# \n	{"Pref"={"Pin"=":b=z"}}{"Pref"={"Explanation"=""}}{"Pref"={"Package"=""}}{"Pref"={"Explanation"=""}}{"Pref"={"Pin"="B"}}{"Pref"={"#comment"=""}}
Pin: M\n	{"Pref"={"Pin"="M"}}
Package: *\n	{"Pref"={"Package"="*"}}
Package: \n\nPin-Priority: 329146\n	{"Pref"={"Package"=""}}{"Pref"={"Pin-Priority"="329146"}}
Pin-Priority: 45\n	{"Pref"={"Pin-Priority"="45"}}
Explanation: \n\nPackage: *\n	{"Pref"={"Explanation"=""}}{"Pref"={"Package"="*"}}
# +Bu7=x9\n	{"Pref"={"#comment"="+Bu7=x9"}}
Pin-Priority: 333\n	{"Pref"={"Pin-Priority"="333"}}
Pin: sx\n\nPin-Priority: 1\n	{"Pref"={"Pin"="sx"}}{"Pref"={"Pin-Priority"="1"}}
Pin: H\n\nExplanation: \n\nPin:  \n	{"Pref"={"Pin"="H"}}{"Pref"={"Explanation"=""}}{"Pref"={"Pin"=" "}}
Package: 28\n\nPin-Priority: 63\n	{"Pref"={"Package"="28"}}{"Pref"={"Pin-Priority"="63"}}
Package: *\n	{"Pref"={"Package"="*"}}
Package: *\n\n# tbPc\n\nPackage: 5\n\nPin-Priority: 640689\n\nPin-Priority: 0186836\n\nPin-Priority: 082951\n\nPin-Priority: 0\n\nExplanation: y"\n\nPin: _\n\nPin: n\n\n# \n\n# P\n\nPackage: F\n	{"Pref"={"Package"="*"}}{"Pref"={"#comment"="tbPc"}}{"Pref"={"Package"="5"}}{"Pref"={"Pin-Priority"="640689"}}{"Pref"={"Pin-Priority"="0186836"}}{"Pref"={"Pin-Priority"="082951"}}{"Pref"={"Pin-Priority"="0"}}{"Pref"={"Explanation"="y""}}{"Pref"={"Pin"="_"}}{"Pref"={"Pin"="n"}}{"Pref"={"#comment"=""}}{"Pref"={"#comment"="P"}}{"Pref"={"Package"="F"}}
Explanation: "MEB\n	{"Pref"={"Explanation"=""MEB"}}
Pin-Priority: 52\n\nPackage: *\n\n# \n	{"Pref"={"Pin-Priority"="52"}}{"Pref"={"Package"="*"}}{"Pref"={"#comment"=""}}
Package: *\n\n# \n\nPin-Priority: 0\n\nPin: .ZjU\n	{"Pref"={"Package"="*"}}{"Pref"={"#comment"=""}}{"Pref"={"Pin-Priority"="0"}}{"Pref"={"Pin"=".ZjU"}}
# \n	{"Pref"={"#comment"=""}}
# 2y\n	{"Pref"={"#comment"="2y"}}
Package: *\n	{"Pref"={"Package"="*"}}
Pin-Priority: 47\n\nPin: \n	{"Pref"={"Pin-Priority"="47"}}{"Pref"={"Pin"=""}}
Pin: BRswRj\n	{"Pref"={"Pin"="BRswRj"}}
Pin-Priority: 96221\n\nPackage: \n	{"Pref"={"Pin-Priority"="96221"}}{"Pref"={"Package"=""}}
Package: *\n	{"Pref"={"Package"="*"}}
Pin: K\n	{"Pref"={"Pin"="K"}}
Pin: o\n\nPackage: P\n	{"Pref"={"Pin"="o"}}{"Pref"={"Package"="P"}}
# qw\n\nPin-Priority: 0\n	{"Pref"={"#comment"="qw"}}{"Pref"={"Pin-Priority"="0"}}
Explanation: m\n\nPin: A5\n	{"Pref"={"Explanation"="m"}}{"Pref"={"Pin"="A5"}}
# g1D5Wfw1e\n	{"Pref"={"#comment"="g1D5Wfw1e"}}
# \n	{"Pref"={"#comment"=""}}
Pin: =\n\n# \n	{"Pref"={"Pin"="="}}{"Pref"={"#comment"=""}}
Pin-Priority: 88\n	{"Pref"={"Pin-Priority"="88"}}
Pin: r\n	{"Pref"={"Pin"="r"}}
Package: O\n\nExplanation: jiXM\n	{"Pref"={"Package"="O"}}{"Pref"={"Explanation"="jiXM"}}
Explanation: \n\nPin: Y\n\n# \n	{"Pref"={"Explanation"=""}}{"Pref"={"Pin"="Y"}}{"Pref"={"#comment"=""}}
Pin-Priority: 409\n\nPackage: *\n	{"Pref"={"Pin-Priority"="409"}}{"Pref"={"Package"="*"}}
Pin: Zuh\n	{"Pref"={"Pin"="Zuh"}}
Explanation: \n\nPin-Priority: 76\n	{"Pref"={"Explanation"=""}}{"Pref"={"Pin-Priority"="76"}}
Explanation: \n\nPin-Priority: 3454\n\n# 0\n\nPin: "\n	{"Pref"={"Explanation"=""}}{"Pref"={"Pin-Priority"="3454"}}{"Pref"={"#comment"="0"}}{"Pref"={"Pin"="""}}
Explanation: \n	{"Pref"={"Explanation"=""}}
Pin-Priority: 8800\n\nPin-Priority: 37\n	{"Pref"={"Pin-Priority"="8800"}}{"Pref"={"Pin-Priority"="37"}}
# \n	{"Pref"={"#comment"=""}}
Package: *\n\nPackage: *\n	{"Pref"={"Package"="*"}}{"Pref"={"Package"="*"}}
Pin: .t\n\nPin: fH3"n9M\n\nPackage: \n\nPin-Priority: 891\n	{"Pref"={"Pin"=".t"}}{"Pref"={"Pin"="fH3"n9M"}}{"Pref"={"Package"=""}}{"Pref"={"Pin-Priority"="891"}}
Explanation: lt\n	{"Pref"={"Explanation"="lt"}}
Pin: Wcn\n	{"Pref"={"Pin"="Wcn"}}
# \n\n# 2\n\nExplanation: \n	{"Pref"={"#comment"=""}}{"Pref"={"#comment"="2"}}{"Pref"={"Explanation"=""}}
# :"9XJ\n\nExplanation: D2\n	{"Pref"={"#comment"=":\"9XJ"}}{"Pref"={"Explanation"="D2"}}
Pin-Priority: 169\n	{"Pref"={"Pin-Priority"="169"}}
Pin-Priority: 02\n\nPin-Priority: 0\n\nPin-Priority: 0\n\nExplanation: r3\n	{"Pref"={"Pin-Priority"="02"}}{"Pref"={"Pin-Priority"="0"}}{"Pref"={"Pin-Priority"="0"}}{"Pref"={"Explanation"="r3"}}
#  2G\n	{"Pref"={"#comment"=" 2G"}}
Pin-Priority: 81\n\nPin: oKZ\n	{"Pref"={"Pin-Priority"="81"}}{"Pref"={"Pin"="oKZ"}}
Package: \n	{"Pref"={"Package"=""}}
Pin: SF\n	{"Pref"={"Pin"="SF"}}
# \n	{"Pref"={"#comment"=""}}
Pin: \n\nPin-Priority: 36\n\n# dVe"\n\nPackage: v\n\nExplanation: \n\nPin: \n\nPin: _2QI\n\n# 4\n	{"Pref"={"Pin"=""}}{"Pref"={"Pin-Priority"="36"}}{"Pref"={"#comment"="dVe\""}}{"Pref"={"Package"="v"}}{"Pref"={"Explanation"=""}}{"Pref"={"Pin"=""}}{"Pref"={"Pin"="_2QI"}}{"Pref"={"#comment"="4"}}
# \n\nPin: \n\nPin: \n	{"Pref"={"#comment"=""}}{"Pref"={"Pin"=""}}{"Pref"={"Pin"=""}}
Package: *\n\nPin-Priority: 7\n\n# \n	{"Pref"={"Package"="*"}}{"Pref"={"Pin-Priority"="7"}}{"Pref"={"#comment"=""}}
Pin-Priority: 13\n\nExplanation: r\n\nPin: E\n	{"Pref"={"Pin-Priority"="13"}}{"Pref"={"Explanation"="r"}}{"Pref"={"Pin"="E"}}
Explanation: \n\nPin-Priority: 2\n	{"Pref"={"Explanation"=""}}{"Pref"={"Pin-Priority"="2"}}
# \n\n# \n	{"Pref"={"#comment"=""}}{"Pref"={"#comment"=""}}
# -qm\n\nPin: \n	{"Pref"={"#comment"="-qm"}}{"Pref"={"Pin"=""}}
# Q\n\n# Toxu0\n\nPackage: *\n\nPackage: \n	{"Pref"={"#comment"="Q"}}{"Pref"={"#comment"="Toxu0"}}{"Pref"={"Package"="*"}}{"Pref"={"Package"=""}}
Package: *\n	{"Pref"={"Package"="*"}}
Pin: Tz:\n\nPackage: *\n\nPin: /fG\n\nPackage: Q\n	{"Pref"={"Pin"="Tz:"}}{"Pref"={"Package"="*"}}{"Pref"={"Pin"="/fG"}}{"Pref"={"Package"="Q"}}
Pin: Xz\n	{"Pref"={"Pin"="Xz"}}
# m\n	{"Pref"={"#comment"="m"}}
Pin-Priority: 2314\n\nPackage: *\n	{"Pref"={"Pin-Priority"="2314"}}{"Pref"={"Package"="*"}}
Explanation: hAz\n\nExplanation: \n	{"Pref"={"Explanation"="hAz"}}{"Pref"={"Explanation"=""}}
# \n\nExplanation: \n	{"Pref"={"#comment"=""}}{"Pref"={"Explanation"=""}}
Package: *\n\nPackage: *\n	{"Pref"={"Package"="*"}}{"Pref"={"Package"="*"}}
# \n\nPackage: EO\n\n# nXeonp_M\n\nPackage: 9+8\n\nPin: Q\n	{"Pref"={"#comment"=""}}{"Pref"={"Package"="EO"}}{"Pref"={"#comment"="nXeonp_M"}}{"Pref"={"Package"="9+8"}}{"Pref"={"Pin"="Q"}}
Pin-Priority: 5\n\nPin: \n\nPin: b\n	{"Pref"={"Pin-Priority"="5"}}{"Pref"={"Pin"=""}}{"Pref"={"Pin"="b"}}
Package: 8\n\nPackage: fxM\n	{"Pref"={"Package"="8"}}{"Pref"={"Package"="fxM"}}
# C9M\n	{"Pref"={"#comment"="C9M"}}
Explanation: K\n	{"Pref"={"Explanation"="K"}}
Explanation: uw\n\n# Hw\n\nPin: P8\n\nPackage: *\n	{"Pref"={"Explanation"="uw"}}{"Pref"={"#comment"="Hw"}}{"Pref"={"Pin"="P8"}}{"Pref"={"Package"="*"}}
#  F9c\n	{"Pref"={"#comment"=" F9c"}}
